StateWellID,Latitude,Longitude,WellDepth,Rainfall,Elevation,Tmin,claytotal_l,awc_l,pi_r,ph_r,Fluoride_avg,Exceedance
2428106,33.604167,-102.588056,214,449.5302147,1114,6.8352438,10,0.100000001,11,8.100000381,3.61,1
2420302,33.721944,-102.533055,185,452.0645595,1106,6.81512872,13,0.140000001,13,7.199999809,4.42,1
2429304,33.588334,-102.396389,220,461.1520918,1077,7.24417646,4,0.050000001,6,7.599999905,3.165,1
2429322,33.588056,-102.394167,212,461.1855843,1077,7.24782442,4,0.050000001,6,7.599999905,3.97,1
2429321,33.593056,-102.394445,230,461.1981995,1077,7.24111499,10,0.059999999,3,7.900000095,2.9,1
2415617,33.816112,-102.161389,147,464.950497,1040,7.40213298,22,0.100000001,21,8.300000191,1.522857143,0
2420603,33.671389,-102.534167,280,452.7919537,1105,6.85421262,20,0.100000001,13,8.300000191,5.47,1
2430410,33.5794444,-102.3638889,234,461.3821426,1071,7.30268092,8,0.100000001,10,8,4.315,1
2431903,33.506667,-102.162778,150,459.9841517,1030,7.79592424,5,0.109999999,6,8,4.56,1
2437101,33.461945,-102.475555,207,452.3867243,1079,7.27632838,5,0.109999999,6,8,3.69,1
2336806,33.376667,-101.566944,218,500.5071128,918,8.83563329,12,0.119999997,13,7.5,4.25,1
2341205,33.349167,-101.947778,171,474.5211555,987,8.28138523,12,0.119999997,13,7.5,3.69,1
2343407,33.3158333,-101.7288889,124,493.4630277,946,8.65723796,12,0.119999997,13,7.5,4.045,1
2351301,33.211112,-101.638334,80,506.1702253,917,8.90372526,12,0.119999997,13,7.5,3.326666667,1
2803303,32.989167,-101.666944,60,502.0493181,903,8.88197749,12,0.119999997,13,7.5,5.09,1
2341401,33.293611,-101.983055,132,473.9281034,986,8.27174427,12,0.119999997,13,7.5,5.18,1
2341301,33.371944,-101.887222,194,477.9655871,981,8.37259306,6,0.090000004,11,6.900000095,4.97,1
2341603,33.325,-101.9108333,145,480.125071,981,8.34531982,6,0.090000004,11,6.900000095,4.234,1
2342404,33.328333,-101.854445,115,484.9276127,973,8.43844293,6,0.090000004,11,6.900000095,4.07,1
2349101,33.2466667,-101.9802778,140,476.3857812,980,8.31741314,6,0.090000004,11,6.900000095,5.04,1
2357803,33.022222,-101.928889,80,475.787467,944,8.53720598,6,0.090000004,11,6.900000095,2.895,1
2801305,32.989722,-101.912501,75,473.7219739,939,8.55524748,6,0.090000004,11,6.900000095,3.05,1
2802207,32.968889,-101.830278,80,481.0335035,927,8.6429612,6,0.090000004,11,6.900000095,3.924,1
2358504,33.048056,-101.816389,75,492.7458576,929,8.66946064,8,0.100000001,10,8,2.823333333,1
2349103,33.2163889,-101.9805556,100,477.3087968,976,8.3480004,0.100000001,0.039999999,0,6.800000191,2.6575,1
2803201,32.9747222,-101.6869444,50,498.8014069,907,8.83924118,13,0.140000001,13,7.199999809,8.01,1
2344104,33.370555,-101.601667,90,498.374307,926,8.78904913,13,0.140000001,13,7.199999809,4.835,1
2352502,33.181389,-101.575555,80,519.6333221,897,9.09069978,55,0.109999999,43,8.100000381,5.623333333,1
2464904,33.021389,-102.032778,70,459.7486816,947,8.47916269,4,0.050000001,6,7.599999905,3.51,1
2351901,33.13,-101.631944,75,509.9033409,904,8.99095076,3,0.050000001,4,7.599999905,7.6,1
2359102,33.109167,-101.736111,82,502.690242,922,8.77323914,10,0.109999999,9,8,7.09,1
2350602,33.2055889,-101.7857389,90,503.4259157,944,8.64915831,5,0.109999999,6,8,4.68,1
2456601,33.167778,-102.038889,82,466.0778671,977,8.29321628,5,0.109999999,6,8,4.5,1
2456603,33.1675,-102.0375,87,466.3122839,977,8.29471325,5,0.109999999,6,8,4.62,1
2448203,33.340834,-102.072222,155,464.6280906,1000,8.11921958,10,0.109999999,9,8,5.64,1
2448204,33.341389,-102.074167,152,464.4888805,1000,8.11580722,10,0.109999999,9,8,5.42,1
2835511,32.4325,-101.678889,35,460.9441593,808,10.21459297,20,0.07,18,8.199999809,1.08,0
2835603,32.439445,-101.661112,40,463.686245,813,10.14716316,20,0.07,18,8.199999809,7.073333333,1
2844205,32.349445,-101.545,93,460.311467,796,10.34322894,20,0.07,18,8.199999809,2.76,1
2846401,32.3322222,-101.3530556,75,471.5879701,760,10.42042807,6,0.090000004,11,6.900000095,1.8,0
2845701,32.29,-101.496667,84,460.1737856,778,10.5190806,5,0.109999999,6,8,2.7575,1
2846712,32.278889,-101.372222,67,470.1493792,749,10.4940071,5,0.109999999,6,8,1.995,0
2853206,32.238334,-101.434167,150,463.5322073,751,10.59202814,12,0.100000001,9,8.100000381,0.5,0
2838401,32.4219444,-101.3705556,100,474.6498935,781,10.24762459,27,0.119999997,19,7.900000095,0.94,0
2836601,32.421944,-101.541945,136,467.38875,818,9.9837915,20,0.090000004,16,8.399999619,2.653333333,1
2836702,32.384722,-101.618055,30,457.7941502,792,10.37607168,20,0.090000004,16,8.399999619,14.06666667,1
2837411,32.439167,-101.480555,175,471.1273755,817,9.9003876,20,0.090000004,16,8.399999619,1.37,0
2838701,32.410834,-101.345834,120,475.6384615,773,10.30119853,20,0.090000004,16,8.399999619,2.52,1
534205,35.469167,-100.796945,250,586.5953901,900,6.95902327,22,0.100000001,21,8.399999619,0.53,0
534206,35.4725,-100.798334,251,586.200071,903,6.95132096,22,0.100000001,21,8.399999619,0.685,0
551101,35.2130556,-100.7294444,310,636.9189461,889,7.15682749,22,0.100000001,21,8.399999619,0.5,0
526102,35.595,-100.8458333,360,576.0838155,952,6.78072549,15,0.01,12.5,8.199999809,0.55,0
535706,35.380278,-100.715001,150,607.6179845,859,7.09931586,20,0.079999998,15,7.900000095,0.3,0
552106,35.235278,-100.598611,165,654.693112,860,7.35823869,20,0.079999998,15,7.900000095,0.41,0
525401,35.5605556,-100.9933333,502,557.835418,985,6.72224303,25,0.100000001,17,8.199999809,1.12,0
525503,35.5541667,-100.9405556,525,559.6827764,976,6.75681704,27,0.119999997,22,7.099999905,0.91,0
525706,35.515278,-100.963612,460,558.7508929,983,6.71594023,27,0.109999999,22,7.099999905,0.7,0
525813,35.519444,-100.917778,520,561.6128681,970,6.77334495,27,0.109999999,22,7.099999905,0.91,0
526615,35.581944,-100.756945,490,596.6481855,941,6.79090449,27,0.109999999,22,7.099999905,0.845,0
527105,35.591945,-100.717222,483,605.0414073,932,6.79646271,27,0.109999999,22,7.099999905,0.67,0
527702,35.5375,-100.750278,561,597.5989409,938,6.80777069,27,0.109999999,22,7.099999905,0.83,0
541501,35.300001,-100.953889,310,580.6980578,977,6.68103601,27,0.109999999,22,7.099999905,0.83,0
640507,35.452223,-101.042778,452,557.5425465,997,6.60372191,27,0.109999999,22,7.099999905,0.79,0
648501,35.331667,-101.051389,480,561.9740963,1000,6.58269885,27,0.109999999,22,7.099999905,1.24,0
534509,35.435556,-100.799445,140,588.1970306,886,7.02010576,5,0.02,3,8.199999809,0.3,0
2708503,32.9419444,-102.06,100,451.2394455,942,8.47665668,4,0.109999999,5,7.400000095,5.1775,1
2715302,32.833611,-102.133889,175,439.4721242,942,8.51540958,4,0.109999999,5,7.400000095,3.505,1
2731301,32.601945,-102.135834,180,424.1948403,904,9.142019,4,0.109999999,5,7.400000095,2.2,1
2731803,32.524444,-102.195278,155,411.7737874,897,9.67314534,4,0.109999999,5,7.400000095,2.975,1
2826902,32.5408333,-101.7638889,160,463.7035448,853,9.59398798,8,0.100000001,10,8,0.7876,0
2724101,32.7097222,-102.1022222,100,434.7838484,916,8.65986966,20,0.050000001,16,8.399999619,5.49,1
2801801,32.9005556,-101.9294444,80,459.6590348,926,8.58052833,20,0.050000001,16,8.399999619,5.5875,1
636818,35.398889,-101.545278,732,527.5358732,1074,6.31116027,22,0.100000001,17,8.5,1.0612,0
763211,35.1027778,-102.1852778,296,477.4458534,1171,5.62425094,15,0.079999998,7,8.300000191,3.352857143,1
1044503,34.298334,-102.543611,376,463.5539981,1157,5.54696278,6,0.090000004,11,6.900000095,1.71,0
1044602,34.298334,-102.538056,367,463.6516476,1156,5.55121929,6,0.090000004,11,6.900000095,1.87,0
1044907,34.263889,-102.512223,308,462.5089048,1144,5.66011712,6,0.090000004,11,6.900000095,1.54,0
1045802,34.290834,-102.436389,200,465.0809532,1146,5.65685493,6,0.090000004,11,6.900000095,1.54,0
1060307,34.0938889,-102.5208333,215,455.857239,1137,5.9462746,6,0.090000004,11,6.900000095,1.03,0
1061701,34.0175,-102.476667,223,456.0249627,1121,6.24313062,6,0.090000004,11,6.900000095,1.21,0
1063503,34.050556,-102.171111,240,464.1523432,1083,6.61305187,6,0.090000004,11,6.900000095,0.65,0
2404601,33.918333,-102.539722,95,450.8921656,1116,6.38607742,6,0.090000004,11,6.900000095,1.8,0
2407104,33.996111,-102.224444,220,462.1024334,1085,6.64147998,6,0.090000004,11,6.900000095,1.48,0
2407603,33.925833,-102.158056,233,464.464846,1069,6.99869867,6,0.090000004,11,6.900000095,1.33,0
2407604,33.926111,-102.154167,198,464.689012,1068,7.0054856,6,0.090000004,11,6.900000095,1.3,0
2414102,33.847778,-102.345278,130,458.4738056,1070,6.99064288,6,0.090000004,11,6.900000095,3.3,1
2414604,33.830278,-102.262501,128,460.0950957,1055,7.20001982,6,0.090000004,11,6.900000095,4.045,1
1045804,34.291389,-102.445,287,464.9732367,1147,5.64574262,8,0.100000001,10,8,1.33,0
1062603,34.049167,-102.280555,203,461.8337379,1098,6.38075456,8,0.100000001,10,8,3.146666667,1
1062704,34.031111,-102.348056,235,460.3233258,1103,6.36632774,8,0.100000001,10,8,1.35,0
2405102,33.965834,-102.481667,110,455.3176194,1109,6.41915799,8,0.100000001,10,8,1.8,0
2415301,33.836389,-102.146667,199,465.6683554,1044,7.34178217,8,0.100000001,10,8,1.4,0
1046704,34.259167,-102.360001,298,464.6338811,1132,5.81680964,12,0.119999997,13,7.5,1.255,0
1047702,34.270555,-102.221389,249,463.4365508,1118,6.04632501,12,0.119999997,13,7.5,1.95,0
1056101,34.246111,-102.093056,240,462.4134018,1097,6.31568876,12,0.119999997,13,7.5,1.89,0
2415108,33.874444,-102.208612,200,461.8235704,1057,7.14625444,12,0.119999997,13,7.5,1.3,0
1053608,34.191111,-102.410834,208,461.8046367,1122,5.97106414,5,0.109999999,6,8,2.51,1
1061201,34.1144444,-102.4186111,210,459.6564364,1115,6.17057483,5,0.109999999,6,8,4.28,1
1061604,34.055278,-102.407501,225,459.0582311,1112,6.27889617,5,0.109999999,6,8,1.33,0
1053903,34.140834,-102.379167,216,461.3166665,1115,6.11213101,2,0.039999999,1,7.400000095,3.61,1
1044906,34.255001,-102.524444,254,461.9282899,1142,5.66927177,6,0.090000004,11,6.900000095,1.34,0
2412301,33.8497222,-102.5336111,100,451.2130793,1105,6.58831441,10,0.109999999,9,8,1,0
1053501,34.177222,-102.431111,193,460.9184885,1121,5.99389889,3,0.059999999,4,8.100000381,3.33,1
1060606,34.074167,-102.508612,220,455.6711531,1133,6.02353036,3,0.059999999,4,8.100000381,0.6595,0
1062307,34.091945,-102.274167,298,462.5554843,1103,6.28484313,3,0.059999999,4,8.100000381,1.82,0
1063203,34.085834,-102.1725,310,463.9576833,1088,6.53528652,3,0.059999999,4,8.100000381,1.825,0
